geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other
DS02001616,DS02001616,82,0,0,3,6,0,2,71,0
DS02001616,DS02001620,188,0,0,42,26,3,11,105,1
DS02001616,DS02001620,99,0,0,13,7,3,15,61,0
DS02001616,DS02001616,228,0,1,92,23,2,38,71,1
DS02001620,DS02001616,31,0,0,8,0,0,14,8,1
DS02001616,DS02001620,56,0,0,23,5,1,7,20,0
DS02001620,DS02001616,128,0,0,41,18,2,5,59,3
DS02001616,DS02001620,71,0,0,15,2,1,6,47,0
DS02001620,DS02001616,324,0,1,8,8,2,3,301,1
DS02001620,DS02001616,156,0,0,7,3,1,11,134,0
DS02001616,DS02001616,324,0,1,44,6,0,15,257,1
DS02001616,DS02001616,61,0,0,5,2,0,5,47,2
DS02001616,DS02001620,61,0,0,7,0,1,3,50,0
DS02001620,DS02001620,133,0,2,13,5,0,2,109,2
DS02001616,DS02001616,40,0,0,10,4,0,6,20,0
DS02001616,DS02001616,151,0,0,7,2,0,7,133,2
DS02001620,DS02001620,191,0,0,4,5,2,8,172,0
DS02001616,DS02001620,356,0,0,36,9,2,23,286,0
DS02001616,DS02001616,51,0,0,1,0,0,6,44,0
DS02001616,DS02001616,34,0,1,13,2,0,1,17,0
DS02001616,DS02001620,101,0,0,23,7,0,8,62,1
DS02001620,DS02001620,23,0,0,7,3,3,2,7,1
DS02001620,DS02001620,109,0,0,6,4,0,2,97,0
DS02001616,DS02001616,134,0,0,12,3,0,1,118,0
DS02001616,DS02001620,433,0,3,17,10,4,6,383,10
DS02001616,DS02001616,64,0,0,2,1,0,2,59,0
DS02001616,DS02001616,48,0,0,1,0,1,0,46,0
DS02001616,DS02001616,97,0,1,14,7,0,7,68,0
DS02001616,DS02001620,29,0,0,14,4,0,5,6,0
DS02001620,DS02001620,93,0,0,19,5,1,7,60,1
DS02001616,DS02001616,188,0,0,3,7,0,12,166,0
DS02001620,DS02001616,275,0,0,22,6,1,9,236,1
DS02001616,DS02001616,98,0,0,2,3,3,2,88,0
DS02001616,DS02001620,26,0,0,6,3,1,1,15,0
DS02001620,DS02001620,78,0,8,26,2,1,6,35,0
DS02001616,DS02001616,12,0,0,6,3,0,0,3,0
DS02001620,DS02001616,180,0,0,15,7,0,0,155,3
DS02001616,DS02001620,52,0,0,12,6,0,4,30,0
DS02001620,DS02001616,255,0,0,27,10,1,8,208,1
DS02001620,DS02001616,24,0,0,3,4,1,2,14,0
DS02001616,DS02001616,85,0,0,2,3,1,1,78,0
DS02001616,DS02001616,129,0,2,7,6,0,4,110,0
DS02001616,DS02001620,43,0,0,8,13,0,5,17,0
DS02001616,DS02001616,336,0,2,18,20,2,6,286,2
DS02001620,DS02001620,59,0,0,10,7,0,5,37,0
DS02001620,DS02001620,326,0,2,67,18,4,13,220,2
DS02001620,DS02001620,38,0,0,16,4,0,3,15,0
DS02001620,DS02001620,105,0,0,8,17,2,3,74,1
DS02001620,DS02001620,350,0,6,30,27,3,4,280,0
